+-------+------------+---------------------+
| id    | time       | number              |
| 1.1.2 | 2022-05-01 |                   8 |
| 1.1.2 | 2022-06-01 |                   8 |
| 1.1.2 | 2022-07-01 |                   8 |
| 1.1.2 | 2022-08-01 |                   8 |
| 1.1.2 | 2022-09-01 |                   8 |
| 1.1.2 | 2022-10-01 |                   8 |
| 1.1.2 | 2022-11-01 |                   8 |
| 1.1.2 | 2022-12-01 |                   8 |
| 1.1.2 | 2023-01-01 |                   8 |
| 1.1.2 | 2023-02-01 |                   8 |
| 1.1.2 | 2023-03-01 |                   8 |
| 1.1.2 | 2023-04-01 |                   8 |
| 1.1.2 | 2023-05-01 |                   9 |
| 1.1.2 | 2023-06-01 |                   9 |
| 1.1.2 | 2023-07-01 |                   9 |
| 1.1.2 | 2023-08-01 |                   9 |
| 1.1.2 | 2023-09-01 |                   9 |
| 1.1.2 | 2023-10-01 |                   9 |
| 1.1.2 | 2023-11-01 |                   9 |
| 1.1.2 | 2023-12-01 |                   9 |
| 1.1.2 | 2024-01-01 |                   9 |
| 1.1.2 | 2024-02-01 |                   9 |
| 1.1.2 | 2024-03-01 |                   9 |
| 1.1.2 | 2024-04-01 |                   9 |
| 1.1.2 | 2024-05-01 |                   9 |
| 1.1.2 | 2024-06-01 |                   9 |
| 1.1.2 | 2024-07-01 |                   9 |
| 1.1.2 | 2024-08-01 |                   9 |
| 1.1.2 | 2024-09-01 |                   9 |
| 1.1.2 | 2024-10-01 |                   9 |
| 1.1.2 | 2024-11-01 |                   9 |
| 1.1.2 | 2024-12-01 |                   9 |
| 1.1.2 | 2025-01-01 |                   9 |
| 1.1.2 | 2025-02-01 |                   9 |
| 1.1.2 | 2025-03-01 |                   9 |
| 1.1.2 | 2025-04-01 |                   9 |
| 1.1.2 | 2025-05-01 |                   9 |
| 1.1.3 | 2018-06-01 |                   0 |
| 1.1.3 | 2018-07-01 |                   6 |
| 1.1.3 | 2018-08-01 |                   7 |
| 1.1.3 | 2018-09-01 |                   7 |
| 1.1.3 | 2018-10-01 |                  55 |
| 1.1.3 | 2018-11-01 |                 160 |
| 1.1.3 | 2018-12-01 |                 160 |
| 1.1.3 | 2019-01-01 |                 160 |
| 1.1.3 | 2019-02-01 |                 160 |
| 1.1.3 | 2019-03-01 |                 160 |
| 1.1.3 | 2019-04-01 |                 160 |
| 1.1.3 | 2019-05-01 |                 160 |
| 1.1.3 | 2019-06-01 |                 132 |
| 1.1.3 | 2019-07-01 |                 150 |
| 1.1.3 | 2019-08-01 |                 205 |
| 1.1.3 | 2019-09-01 |                 297 |
| 1.1.3 | 2019-10-01 |                 308 |
| 1.1.3 | 2019-11-01 |                 353 |
| 1.1.3 | 2019-12-01 |                 353 |
| 1.1.3 | 2020-01-01 |                 398 |
| 1.1.3 | 2020-02-01 |                 418 |
| 1.1.3 | 2020-03-01 |                 419 |
| 1.1.3 | 2020-04-01 |                 423 |
| 1.1.3 | 2020-05-01 |                 429 |
| 1.1.3 | 2020-06-01 |                 441 |
| 1.1.3 | 2020-07-01 |                 443 |
| 1.1.3 | 2020-08-01 |                 444 |
| 1.1.3 | 2020-09-01 |                 444 |
| 1.1.3 | 2020-10-01 |                 194 |
| 1.1.3 | 2020-11-01 |                 195 |
| 1.1.3 | 2020-12-01 |                 196 |
| 1.1.3 | 2021-01-01 |                 196 |
| 1.1.3 | 2021-02-01 |                 197 |
| 1.1.3 | 2021-03-01 |                 196 |
| 1.1.3 | 2021-04-01 |                 197 |
| 1.1.3 | 2021-05-01 |                 200 |
| 1.1.3 | 2021-06-01 |                 202 |
| 1.1.3 | 2021-07-01 |                 203 |
| 1.1.3 | 2021-08-01 |                 176 |
| 1.1.3 | 2021-09-01 |                 173 |
| 1.1.3 | 2021-10-01 |                 173 |
| 1.1.3 | 2021-11-01 |                 173 |
| 1.1.3 | 2021-12-01 |                 237 |
| 1.1.3 | 2022-01-01 |                1480 |
| 1.1.3 | 2022-02-01 |                1694 |
| 1.1.3 | 2022-03-01 |                1716 |
| 1.1.3 | 2022-04-01 |                1716 |
| 1.1.3 | 2022-05-01 |                1702 |
| 1.1.3 | 2022-06-01 |                1703 |
| 1.1.3 | 2022-07-01 |                1716 |
| 1.1.3 | 2022-08-01 |                1716 |
| 1.1.3 | 2022-09-01 |                1716 |
| 1.1.3 | 2022-10-01 |                1722 |
| 1.1.3 | 2022-11-01 |                1719 |
| 1.1.3 | 2022-12-01 |                1733 |
| 1.1.3 | 2023-01-01 |                1730 |
| 1.1.3 | 2023-02-01 |                1730 |
| 1.1.3 | 2023-03-01 |                1730 |
| 1.1.3 | 2023-04-01 |                1743 |
| 1.1.3 | 2023-05-01 |                1765 |
| 1.1.3 | 2023-06-01 |                1848 |
| 1.1.3 | 2023-07-01 |                1858 |
| 1.1.3 | 2023-08-01 |                1858 |
| 1.1.3 | 2023-09-01 |                1856 |
| 1.1.3 | 2023-10-01 |                1856 |
| 1.1.3 | 2023-11-01 |                1856 |
| 1.1.3 | 2023-12-01 |                1856 |
| 1.1.3 | 2024-01-01 |                1856 |
| 1.1.3 | 2024-02-01 |                1856 |
| 1.1.3 | 2024-03-01 |                1856 |
| 1.1.3 | 2024-04-01 |                1856 |
| 1.1.3 | 2024-05-01 |                1856 |
| 1.1.3 | 2024-06-01 |                1856 |
| 1.1.3 | 2024-07-01 |                1856 |
| 1.1.3 | 2024-08-01 |                1856 |
| 1.1.3 | 2024-09-01 |                1856 |
| 1.1.3 | 2024-10-01 |                1856 |
| 1.1.3 | 2024-11-01 |                1856 |
| 1.1.3 | 2024-12-01 |                1856 |
| 1.1.3 | 2025-01-01 |                1856 |
| 1.1.3 | 2025-02-01 |                1856 |
| 1.1.3 | 2025-03-01 |                1856 |
| 1.1.3 | 2025-04-01 |                1856 |
| 1.1.3 | 2025-05-01 |                1856 |
| 1.1.4 | 2018-07-01 |                   0 |
| 1.1.4 | 2018-08-01 |                   0 |
| 1.1.4 | 2018-09-01 |                   0 |
| 1.1.4 | 2018-10-01 |                   0 |
| 1.1.4 | 2018-11-01 |                23.4 |
| 1.1.4 | 2018-12-01 |                23.4 |
| 1.1.4 | 2019-01-01 |                23.4 |
| 1.1.4 | 2019-02-01 |                23.5 |
| 1.1.4 | 2019-03-01 |                23.5 |
| 1.1.4 | 2019-04-01 |                23.5 |
| 1.1.4 | 2019-05-01 |                23.5 |
| 1.1.4 | 2019-06-01 |                23.1 |
| 1.1.4 | 2019-07-01 |                20.1 |
| 1.1.4 | 2019-08-01 |                17.6 |
| 1.1.4 | 2019-09-01 |                22.8 |
| 1.1.4 | 2019-10-01 |                21.2 |
| 1.1.4 | 2019-11-01 |                26.3 |
| 1.1.4 | 2019-12-01 |                26.3 |
| 1.1.4 | 2020-01-01 |                31.1 |
| 1.1.4 | 2020-02-01 |                30.8 |
| 1.1.4 | 2020-03-01 |                30.1 |
| 1.1.4 | 2020-04-01 |                29.8 |
| 1.1.4 | 2020-05-01 |                29.3 |
| 1.1.4 | 2020-06-01 |                28.5 |
| 1.1.4 | 2020-07-01 |                28.3 |
| 1.1.4 | 2020-08-01 |                28.3 |
