+-------+------------+---------------------+
| id    | time       | number              |
| 1.3.3 | 2025-06-01 |                   3 |
| 1.3.3 | 2025-07-01 |                   8 |
| 1.3.3 | 2025-08-01 |                  22 |
| 1.3.3 | 2025-09-01 |                  29 |
| 1.3.3 | 2025-10-01 |                  12 |
| 2.1.1 | 2024-06-01 |                  17 |
| 2.1.1 | 2024-07-01 |                  52 |
| 2.1.1 | 2024-08-01 |                  57 |
| 2.1.1 | 2024-09-01 |                  64 |
| 2.1.1 | 2024-10-01 |                  30 |
| 2.1.1 | 2024-11-01 |                  38 |
| 2.1.1 | 2024-12-01 |                  64 |
| 2.1.1 | 2025-01-01 |                  35 |
| 2.1.1 | 2025-02-01 |                   8 |
| 2.1.1 | 2025-03-01 |                  21 |
| 2.1.1 | 2025-04-01 |                  11 |
| 2.1.1 | 2025-05-01 |                  19 |
| 2.1.1 | 2025-06-01 |                   1 |
| 2.1.1 | 2025-07-01 |                   5 |
| 2.1.1 | 2025-08-01 |                  17 |
| 2.1.1 | 2025-09-01 |                  21 |
| 2.1.1 | 2025-10-01 |                  12 |
| 2.1.2 | 2024-06-01 |   0.672294817075638 |
| 2.1.2 | 2024-07-01 |  0.4566836315394428 |
| 2.1.2 | 2024-08-01 |  0.7705351118748615 |
| 2.1.2 | 2024-09-01 |  0.6395702139114332 |
| 2.1.2 | 2024-10-01 | 0.31374592183069844 |
| 2.1.2 | 2024-11-01 |  0.9819407868640977 |
| 2.1.2 | 2024-12-01 |  0.9992954443621547 |
| 2.1.2 | 2025-01-01 |  0.7747930465220335 |
| 2.1.2 | 2025-02-01 |                   0 |
| 2.1.2 | 2025-03-01 |  0.9852281360342516 |
| 2.1.2 | 2025-04-01 |                   0 |
| 2.1.2 | 2025-05-01 |  0.6292492238560347 |
| 2.1.2 | 2025-06-01 |                   0 |
| 2.1.2 | 2025-07-01 |  0.9709505944546688 |
| 2.1.2 | 2025-08-01 |  0.5225593745369408 |
| 2.1.2 | 2025-09-01 |  0.7918583525674836 |
| 2.1.2 | 2025-10-01 |                   0 |
| 2.1.3 | 2024-07-01 |  0.5032583347756459 |
| 2.1.3 | 2024-08-01 |   0.954434002924965 |
| 2.1.3 | 2024-09-01 |  0.8256265261578956 |
| 2.1.3 | 2024-10-01 |  0.8960382325345575 |
| 2.1.3 | 2024-11-01 |                   0 |
| 2.1.3 | 2024-12-01 |                   0 |
| 2.1.3 | 2025-01-01 |                   0 |
| 2.1.3 | 2025-02-01 |                   0 |
| 2.1.3 | 2025-03-01 |                   0 |
| 2.1.3 | 2025-04-01 |                   0 |
| 2.1.3 | 2025-05-01 |                   0 |
| 2.1.3 | 2025-06-01 |                   0 |
| 2.1.3 | 2025-07-01 |                   0 |
| 2.1.3 | 2025-08-01 |                   0 |
| 2.1.3 | 2025-09-01 |                   0 |
| 2.1.4 | 2024-07-01 |                   9 |
| 2.1.4 | 2024-08-01 |                  40 |
| 2.1.4 | 2024-09-01 |                  27 |
| 2.1.4 | 2024-10-01 |                  16 |
| 2.1.4 | 2024-11-01 |                   9 |
| 2.1.4 | 2024-12-01 |                  11 |
| 2.1.4 | 2025-01-01 |                   9 |
| 2.1.4 | 2025-02-01 |                   9 |
| 2.1.4 | 2025-03-01 |                  10 |
| 2.1.4 | 2025-04-01 |                   6 |
| 2.1.4 | 2025-05-01 |                   5 |
| 2.1.4 | 2025-06-01 |                   2 |
| 2.1.4 | 2025-07-01 |                   3 |
| 2.1.4 | 2025-08-01 |                   5 |
| 2.1.4 | 2025-09-01 |                   8 |
| 2.2.2 | 2024-10-01 |  0.7142857142857143 |
| 2.2.2 | 2024-11-01 |  0.7727272727272727 |
| 2.2.2 | 2024-12-01 |  0.8367346938775511 |
| 2.2.2 | 2025-01-01 |  0.8536585365853658 |
| 2.2.2 | 2025-02-01 |                 0.8 |
| 2.2.2 | 2025-03-01 |  0.8181818181818182 |
| 2.2.2 | 2025-04-01 |  0.7916666666666666 |
| 2.2.2 | 2025-05-01 |                0.65 |
| 2.2.2 | 2025-06-01 |  0.6451612903225806 |
| 2.2.2 | 2025-07-01 |  0.5833333333333334 |
| 2.2.2 | 2025-08-01 |  0.6666666666666666 |
| 2.2.2 | 2025-09-01 |                 0.6 |
| 2.2.2 | 2025-10-01 |  0.7083333333333334 |
| 2.3.1 | 2024-10-01 |                  39 |
| 2.3.1 | 2024-11-01 |                  42 |
| 2.3.1 | 2024-12-01 |                  38 |
| 2.3.1 | 2025-01-01 |                  38 |
| 2.3.1 | 2025-02-01 |                  35 |
| 2.3.1 | 2025-03-01 |                  32 |
| 2.3.1 | 2025-04-01 |                  27 |
| 2.3.1 | 2025-05-01 |                  31 |
| 2.3.1 | 2025-06-01 |                  36 |
| 2.3.1 | 2025-07-01 |                  32 |
| 2.3.1 | 2025-08-01 |                  30 |
| 2.3.1 | 2025-09-01 |                  24 |
| 2.3.1 | 2025-10-01 |                  21 |
| 3.2.1 | 2024-07-01 |                   0 |
| 3.2.1 | 2024-08-01 |                   0 |
| 3.2.1 | 2024-09-01 |                   0 |
| 3.2.1 | 2024-10-01 |                   0 |
| 3.2.1 | 2024-11-01 |                   0 |
| 3.2.1 | 2024-12-01 |                   0 |
| 3.2.1 | 2025-01-01 |                   0 |
| 3.2.1 | 2025-02-01 |                   0 |
| 3.2.1 | 2025-03-01 |                   0 |
| 3.2.1 | 2025-04-01 |                   0 |
| 3.2.1 | 2025-05-01 |                   0 |
| 3.2.1 | 2025-06-01 |                   0 |
| 3.2.1 | 2025-07-01 |                   0 |
| 3.2.1 | 2025-08-01 |                   0 |
| 3.2.1 | 2025-09-01 |                   0 |
+-------+------------+---------------------+
